d100,Background,Weapons,Armor,Skills,Languages,Tool Proficiencies,+cantrips,+STR,+DEX,+CON,+WIS,+INT,+CHA,Starting Equipment
1,Actor,"Dagger
Club",,"Deception
Performance
Persuasion",2,"Disguise Kit
Musical Instrument(1)",,1,1,1,,1,4,"Clothes (traveler’s, fine, and a collection of 3 common costumes), Dagger, Disguise Kit, Book w/ Collection of Plays, One Musical Instrument of Your Choice, Broadsheet Pamphlet (raving about one of your past performances), Backpack, Sack, Bedroll, Mule w/ Saddlebags, 25 gp"
2,Adventurer's Heir,"Dagger
Shortsword
Club",Medium,"Arcana
Athletics
History
Perception",2,Disguise Kit,,1,1,1,1,1,1,"Clothes (traveler’s), Shortsword, Silvered Dagger, Chain Shirt, Potion of Healing, Chapbook of Tales of a Famous Adventurer, Backpack, Bedroll, Waterskin, 50 gp"
3-4,Airship Crew,"Dagger
Club",,"Athletics
Perception",2,"Navigator’s Tools
Air Vehicles",,2,2,2,,,,"Clothes (common), Dagger, Belaying Pin (per club), 50’ of Silk Rope, Bedroll, Sack, 10 gp"
5,Alchemist’s Apprentice,"Club
Quarterstaff",,"Arcana
Nature",2,"Herbalism Kit
Alchemist’s Tools
Poisoner’s Tools",,,2,2,,2,,"Robes, Clothes (common), Dagger, Alchemist’s Tools, Herbalism Kit, 2 Vials Alchemists’ Fire, Vial of Antitoxin, Book of Notes & Alchemical Recipes, Quills & Ink Vial, Backpack, Bedroll, Waterskin, Wineskin, 30 gp"
6,Animal Trainer,"Dagger
Net
Quarterstaff",,"Animal Handling
Medicine
Survival",1,,,2,2,2,2,,,"Clothes (traveler's), Dagger, Quarterstaff, Backpack, Bedroll, Waterskin, 2d6 gp, Memento from animal you train (roll 1d8): (1) griffon feather, (2) hippogriff feather, (3) pegasus tail hair, (4) wyvern scale, (5) dog tooth, (6) hawk feather, (7) ox horn, (8) other??"
7,Archer,"Shortbow
Dagger",,"Athletics
Perception
Survival",0,Woodcarver’s Tools,,2,2,,,,,"Clothes (traveler's), Dagger, Shortbow, Quiver of 20 Arrows, Mess Kit, Backpack, Bedroll, Waterskin, 2d6 sp"
8,Assassin,"Dagger
Shortsword
Light Crossbow
Shortbow
Fan
Shuriken",Light,"Deception
Sleight of Hand
Stealth",0,Thieves’ Tools,,,2,2,,,,"Clothes (traveler's), Leather Armor, 2 Daggers in Hidden Wrist-Sheaths, Shortsword, Thieves’ Tools, Pouch with a Pinch of Arsenic (ingested, DC 15 Con Save or 3d6 damage and poisoned for 1 day), Large Sack, Wineskin, 50 gp"
9,Baker,"Club
Quarterstaff
Dagger",Light,Animal Handling OR Deception OR Persuasion,0,Cook’s Utensils,,1,1,4,1,1,1,"Homemade Padded Armor, Club, Dagger, Clothes (common), 5 lbs. Sack of Flour, Backpack, Bedroll, Cooking Utensils, Waterskin, Bottle of Sembian Red Wine, 10 gp"
10-11,Bandit,"Shortsword
Dagger
Club
Shortbow",Light,"Stealth
Survival",0,,,,2,2,2,,,"Clothes (common), Black Cloth for Tying Around Face, Leather Armor, Shortsword, Dagger, Shortbow, 10 Arrows, Set of Dice, Backpack, Bedroll, Wineskin, 3d10 gp"
12,Barber,"Dagger
Club",,"Insight
Medicine",0,Barber’s Tools,,,3,1,1,1,2,"Clothes (common), Dagger, Barber’s Tools (scissors, razors, brushes, combs, creams, tooth-pullers, etc.), Healer’s Kit, Backpack, Bedroll, Sack, Wineskin, 20 gp"
13,Barrister,"Dagger
Club",,"History
Investigation
Performance",2,,,,,,2,2,2,"Clothes (fine), Dagger, Book, Bottle of Ink, 10 Sheets of Parchment, Blanket, 3 Volume Set of the Cliffshadow Code Legal, Scroll Case, Bedroll, Backpack, Wineskin, Waterskin, 100 gp"
14-15,Blacksmith’s Apprentice,"Club
Dagger
Light Hammer
Warhammer
Maul",Medium,Athletics,0,Smith’s Tools,,4,,2,,,,"Clothes (common), One Weapon of Your Choice, Dagger, Chain Shirt, Backpack, Bedroll, Waterskin, 10 gp"
